,ds_1,sample_1,ds_2,sample_2,model,Data Dissimilarity Score,Domain Dissimilarity Score,Data Dissimilarity Score_std,Domain Dissimilarity Score_std
1135,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,2,04-real,0.6378896175121506,0.7956893774015127,0.3906825719819357,0.37590984151025747
1136,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,20,04-real,0.6493813188307656,0.8437934104968493,0.3769061220859882,0.3723224302963845
1137,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,21,04-real,0.6487921680676456,0.8366502764571182,0.3776357692451469,0.37006974804304815
1138,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,22,04-real,0.6349215601014848,0.8443484254577561,0.39401119846712884,0.37255596242910327
1139,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,23,04-real,0.6528149539758704,0.8456609103952027,0.3731075188084405,0.3730625605122417
1140,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,24,04-real,0.6494211617624581,0.8371963375377902,0.37694645631148316,0.3702740248302741
1141,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,25,04-real,0.6453350119849599,0.840437833128991,0.3814577493135102,0.37114742642529885
1142,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,26,04-real,0.6518608434074775,0.8417263940440237,0.37416413529102904,0.3715775774241872
1143,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,27,04-real,0.6421518437655107,0.8471104651152677,0.38535321654339316,0.3736851181340943
1144,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,28,04-real,0.6332975324114576,0.8439978745083394,0.3966477707575435,0.37240200635102205
1145,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,29,04-real,0.6387229467271847,0.8451277334941257,0.39120755069901303,0.37284506620425395
1146,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,3,04-real,0.6308854160208799,0.8437971559869041,0.39963518549708676,0.3723219393821904
1147,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,4,04-real,0.6381597470801973,0.8438267638662035,0.3898796909822005,0.37232793756986104
