ds_1,sample_1,ds_2,sample_2,JS,WD,pearson,corr_ratio,theils_u,if_disc_tr-ds1_tst-ds2_fpr,if_disc_tr-ds2_tst-ds1_fpr,ocsvm_disc_tr-ds1_tst-ds2_fpr,ocsvm_disc_tr-ds2_tst-ds1_fpr,if_task_tr-ds1_tst-ds2_f1-macro,if_task_tr-ds2_tst-ds1_f1-macro,if_task_tr-ds1_tst-ds2_f1-micro,if_task_tr-ds2_tst-ds1_f1-micro,if_task_tr-ds1_tst-ds2_f1-weighted,if_task_tr-ds2_tst-ds1_f1-weighted,ocsvm_task_tr-ds1_tst-ds2_f1-macro,ocsvm_task_tr-ds2_tst-ds1_f1-macro,ocsvm_task_tr-ds1_tst-ds2_f1-micro,ocsvm_task_tr-ds2_tst-ds1_f1-micro,ocsvm_task_tr-ds1_tst-ds2_f1-weighted,ocsvm_task_tr-ds2_tst-ds1_f1-weighted,xgb_task_tr-ds1_tst-ds2_f1-macro,xgb_task_tr-ds2_tst-ds1_f1-macro,xgb_task_tr-ds1_tst-ds2_f1-micro,xgb_task_tr-ds2_tst-ds1_f1-micro,xgb_task_tr-ds1_tst-ds2_f1-weighted,xgb_task_tr-ds2_tst-ds1_f1-weighted,model
NF-CSE-CIC-IDS2018,step-8500,NF-CSE-CIC-IDS2018,0,0.2583308153786264,0.021918144947863122,0.23464441934871338,0.23087315214955662,0.10419620791262282,0.3063,0.10005012531328321,0.4484,0.32010025062656644,0.10618519842688595,0.024761424496678293,0.1188,0.024761904761904763,0.025229603146228102,0.02542933620806376,0.10888478969133594,0.012707612683774652,0.121,0.012832080200501254,0.02966835453417059,0.0018889405825830588,0.027653213751868456,0.05844155844155843,0.006614229531641045,0.0017830609212481428,0.05530642750373692,0.11688311688311687,gpt2
NF-CSE-CIC-IDS2018,step-9500,NF-CSE-CIC-IDS2018,0,0.24525874870286343,0.018523231297028108,0.14727315572202693,0.30469358340545594,0.0972402971924615,0.3111,0.09306056959486562,0.4504,0.31227436823104693,0.10618519842688595,0.02216157191517138,0.1188,0.022162053750501405,0.025229603146228102,0.022832975030745932,0.10888478969133594,0.011533168641212765,0.121,0.011632571199358203,0.02966835453417059,0.0018374431197068105,0.04794520547945206,0.050359712230215826,0.011262066499821238,0.0013887511159607182,0.09589041095890412,0.10071942446043165,gpt2
NF-ToN-IoT,step-10000,NF-ToN-IoT,0,0.18489345545953928,0.0097718496907188,0.09211122598996502,0.12167190673141608,0.07130003255022514,0.5872,0.6338158299969202,0.3347,0.5172980186839133,0.48831215595940325,0.45395626935615946,0.8122,0.8218868699312185,0.7381894293029405,0.7420520034982863,0.46937270668375497,0.4509638146770375,0.8111,0.8213735756082537,0.7307461803753578,0.7408195218624324,0.11129385964912282,0.017989925641640682,0.1123471138413858,0.016909029421711196,0.22258771929824564,0.035979851283281364,gpt2
NF-ToN-IoT,step-1000,NF-ToN-IoT,0,0.20569414602724376,0.018399822526179083,0.2382900145206021,0.2367601996062731,0.08834862221780368,0.5891,0.5770566529194704,0.3686,0.43108313436075535,0.47045414930340296,0.4375877433925411,0.8114,0.7780551334925113,0.7312624284130381,0.6809347801999408,0.46260692630978395,0.4375877433925411,0.8099,0.7780551334925113,0.7277748435022887,0.6809347801999408,0.317651632970451,0.031352057478772045,0.4521556256572029,0.029298663248489287,0.635303265940902,0.06270411495754409,gpt2
NF-ToN-IoT,step-1500,NF-ToN-IoT,0,0.203386614888762,0.01618676944708421,0.2798740670159661,0.23617084149460296,0.07839014922437797,0.61,0.5055817947617003,0.3923,0.3877200515242593,0.5121448617081371,0.4418626454480545,0.8186999999999999,0.7824173465006441,0.7495152967826236,0.6875562252922341,0.47407769840054964,0.43876137116693775,0.8121,0.7817732932589094,0.7328753642627708,0.6860238441839432,0.3935348383709592,0.030907920154539605,0.5807737008135482,0.0289174046629315,0.7870696767419184,0.06181584030907921,gpt2
NF-ToN-IoT,step-2500,NF-ToN-IoT,0,0.1896977974402754,0.007850044342773485,0.1572761006138196,0.18674593785959046,0.07940654993664621,0.589,0.5954190415875026,0.3559,0.4683343888537049,0.4714919266744982,0.44528698994508525,0.8115999999999999,0.8010344099641123,0.7317242071621484,0.7126485016029859,0.4745492665991327,0.4447309811276521,0.8121,0.800928857926958,0.7330503772185368,0.7123957535986118,0.3849200528091536,0.020613373554550025,0.5808843876252145,0.019224006564294925,0.7698401056183072,0.04122674710910005,gpt2
NF-ToN-IoT,step-3500,NF-ToN-IoT,0,0.18311461164940787,0.010698767252808333,0.12221370467879607,0.1830021788478949,0.07747447258839597,0.5871,0.6129236617041495,0.3568,0.4741843522331327,0.47045414930340296,0.44193035177656,0.8114,0.7918910357934749,0.7312624284130381,0.6999213680338295,0.4667657682767863,0.44193035177656,0.8106,0.7918910357934749,0.7295870029364483,0.6999213680338295,0.38850044629574526,0.0197094125078964,0.5781172173335547,0.018384302633904896,0.7770008925914905,0.0394188250157928,gpt2
NF-ToN-IoT,step-4500,NF-ToN-IoT,0,0.18916897259969348,0.011729583749378327,0.1662082769412515,0.16724571877038025,0.07560632066397072,0.5441,0.6255607720396453,0.345,0.4875326030255608,0.499052093417028,0.44502405378774706,0.8167,0.800208659363589,0.7438998707128063,0.7115051487118235,0.46575942185414976,0.4444766430972528,0.8105,0.8001043296817945,0.7291750410075456,0.7112553731690834,0.3982590581057957,0.01871359524104598,0.5925065028501854,0.017503187666628027,0.7965181162115914,0.03742719048209196,gpt2
NF-ToN-IoT,step-500,NF-ToN-IoT,0,0.20967572139161592,0.012758258947802316,0.27656505567514933,0.3242382083359597,0.09028439802815268,0.5565,0.6272707612456747,0.3306,0.4844290657439446,0.4562467513017319,0.45542698506289314,0.8086999999999999,0.8341262975778546,0.7249535008371896,0.7587989187658798,0.4615520277546021,0.45474913035787984,0.8097,0.8340181660899654,0.7273065674439757,0.7585380714641712,0.2633423889229691,0.021200099181750556,0.3326138690575018,0.020163905430104354,0.5266847778459381,0.04240019836350111,gpt2
NF-ToN-IoT,step-5500,NF-ToN-IoT,0,0.18407600263410576,0.012040136604320116,0.14783741630632766,0.16157371763415482,0.07448861579244113,0.566,0.6154729588640635,0.3507,0.4821465859260806,0.5037133082984269,0.44209822588706704,0.8173,0.7848193777406557,0.7458563594575985,0.6907274243677709,0.47347429525010026,0.43955529549444117,0.8117999999999999,0.7842973480893715,0.7325365676746118,0.6894841051898605,0.2191820276497696,0.01908493427704752,0.25269799103436824,0.01767115272088941,0.4383640552995392,0.03816986855409504,gpt2
NF-ToN-IoT,step-6500,NF-ToN-IoT,0,0.19204873439347867,0.015793028611315305,0.16807159378262176,0.2669262817992199,0.07068338477277872,0.5495,0.6616401569923569,0.3296,0.518178062383805,0.4868237144795651,0.45639975560215995,0.8146,0.8314397851683536,0.7385618076382774,0.7553311892653409,0.4714492740334749,0.4538583032490975,0.8115,0.8310266473869037,0.7316701138268337,0.7543366882756122,0.05080182605642046,0.015048369759942672,0.04803807626321324,0.014214801444043322,0.10160365211284092,0.030096739519885344,gpt2
NF-ToN-IoT,step-7500,NF-ToN-IoT,0,0.18877890685627818,0.011773449489815782,0.12275469625319219,0.25257741019613494,0.07275070967292206,0.5832,0.6448318547555189,0.3367,0.5115535382710955,0.5340982061441282,0.45710131173880353,0.8122,0.8356715494120074,0.7550390307218321,0.7611734161676079,0.4735615320882728,0.45514838129496404,0.8119999999999999,0.8353620796368888,0.732645507648535,0.7604273966838495,0.30955013181392976,0.01581450653983353,0.4028999944656595,0.014950539568345324,0.6191002636278595,0.03162901307966706,gpt2
