ds_1,sample_1,ds_2,sample_2,JS,WD,pearson,corr_ratio,theils_u,if_disc_tr-ds1_tst-ds2_fpr,if_disc_tr-ds2_tst-ds1_fpr,ocsvm_disc_tr-ds1_tst-ds2_fpr,ocsvm_disc_tr-ds2_tst-ds1_fpr,if_task_tr-ds1_tst-ds2_f1-macro,if_task_tr-ds2_tst-ds1_f1-macro,if_task_tr-ds1_tst-ds2_f1-micro,if_task_tr-ds2_tst-ds1_f1-micro,if_task_tr-ds1_tst-ds2_f1-weighted,if_task_tr-ds2_tst-ds1_f1-weighted,ocsvm_task_tr-ds1_tst-ds2_f1-macro,ocsvm_task_tr-ds2_tst-ds1_f1-macro,ocsvm_task_tr-ds1_tst-ds2_f1-micro,ocsvm_task_tr-ds2_tst-ds1_f1-micro,ocsvm_task_tr-ds1_tst-ds2_f1-weighted,ocsvm_task_tr-ds2_tst-ds1_f1-weighted,xgb_task_tr-ds1_tst-ds2_f1-macro,xgb_task_tr-ds2_tst-ds1_f1-macro,xgb_task_tr-ds1_tst-ds2_f1-micro,xgb_task_tr-ds2_tst-ds1_f1-micro,xgb_task_tr-ds1_tst-ds2_f1-weighted,xgb_task_tr-ds2_tst-ds1_f1-weighted,model,error_flows,Data Dissimilarity Score,Domain Dissimilarity Score,Data Dissimilarity Score_std,Domain Dissimilarity Score_std
NF-CSE-CIC-IDS2018,step-5500,NF-CSE-CIC-IDS2018,0,0.2673131019118505,0.0265095310320852,0.2585160950557055,0.2860842065655096,0.1015497872778636,0.7058,0.9001705628574296,0.5651999999999999,0.6799438145881409,0.1061851984268859,0.0149763283239655,0.1188,0.0150496638908397,0.9747703968537719,0.9765807013548541,0.1093743810172221,0.0050139905712286,0.1214,0.0050165546302799,0.9695269263190069,0.9965726812204373,0.0008298755186721,0.0384615384615384,0.0001787629603146,0.0004,0.9983402489626557,0.9230769230769231,04-gpt2,0.0033,0.47057219603206246,0.8345954111125213,0.2800951823432307,0.36741107983635524
NF-CSE-CIC-IDS2018,step-6000,NF-CSE-CIC-IDS2018,0,0.2750293357731356,0.0254181963000487,0.2672810431241979,0.2709498330314348,0.1082768647632834,0.6746,0.9040545965475713,0.5547,0.6876756322761943,0.1061851984268859,0.0220738125186843,0.1188,0.0220794861501405,0.9747703968537719,0.9756170194786778,0.1098635912071956,0.0114762230289509,0.1218,0.0115415495784825,0.9687229205685732,0.9964016749441951,0.020358306188925,0.0296296296296296,0.0044690740078655,0.0007950705625124,0.9592833876221499,0.9407407407407408,04-gpt2,0.0036,0.46782091318947716,0.8313051628868725,0.2762908579320674,0.3653763110607333
NF-CSE-CIC-IDS2018,step-6500,NF-CSE-CIC-IDS2018,0,0.26588868101722,0.0254526107653677,0.2603480222583622,0.2961777260146356,0.0979751281706961,0.7101999999999999,0.9050772626931568,0.5408999999999999,0.6826209110977324,0.1064310955325165,0.0215697931133152,0.119,0.0215733493879189,0.9743659766935322,0.9766026560851134,0.1103524208447772,0.0111611108477473,0.1222,0.0112382099137066,0.9679196272309754,0.9973933809707337,0.0103780578206078,0.0606060606060606,0.0025026814444047,0.0015893513459819,0.9792438843587843,0.8787878787878788,04-gpt2,0.0034,0.46989846640647537,0.8253876291610025,0.2806764060461692,0.3644971142885441
NF-CSE-CIC-IDS2018,step-7000,NF-CSE-CIC-IDS2018,0,0.2479304498820775,0.0208620576529205,0.1161240040424715,0.2631769234139146,0.0882534986558359,0.6991,0.8967800180559736,0.552,0.6883338348881534,0.1061851984268859,0.0193322975053913,0.1188,0.0193600160497542,0.9747703968537719,0.9755282659766022,0.1101080535586029,0.0080927602760667,0.122,0.0081251880830574,0.9683211849095732,0.9974979074309172,0.0066006600660066,0.0352941176470588,0.0014301036825169,0.0005976095617529,0.9867986798679867,0.9294117647058824,04-gpt2,0.0031,0.4439623411173033,0.8336325999635334,0.3039377900937822,0.3668480629372092
NF-CSE-CIC-IDS2018,step-7500,NF-CSE-CIC-IDS2018,0,0.2688375799672218,0.0262641691973726,0.2634844593049894,0.2888128233362863,0.0973775996065922,0.7030000000000001,0.9038249171769903,0.5418000000000001,0.6927015359903625,0.1061851984268859,0.0207758253414761,0.1188,0.0207810460797108,0.9747703968537719,0.977004906931519,0.1115728338427198,0.0103800379370399,0.1232,0.0104407188033329,0.9659145042543988,0.9972260752648427,0.0302547770700636,0.0416666666666666,0.0067929924919556,0.0009947279419078,0.9394904458598727,0.9166666666666667,04-gpt2,0.0039,0.46997986442280537,0.8249961422615817,0.280824170636785,0.3630361395881007
NF-CSE-CIC-IDS2018,step-8000,NF-CSE-CIC-IDS2018,0,0.2632621299293661,0.0258509822364805,0.2531365112396934,0.2810045320389441,0.1006280162009861,0.6738999999999999,0.9022752330359828,0.5568,0.6763556179212188,0.1061851984268859,0.0235536939343672,0.1188,0.0235541746015836,0.9747703968537719,0.9757768739666248,0.1093743810172221,0.0127342531981894,0.1214,0.0128295078680966,0.9695269263190069,0.9967416424847233,0.0221586847748391,0.0422535211267605,0.0055416517697533,0.0011891784758695,0.9556826304503216,0.9154929577464789,04-gpt2,0.0023,0.4634202550457739,0.827184489688704,0.277780204169394,0.36460409419628825
NF-CSE-CIC-IDS2018,step-8500,NF-CSE-CIC-IDS2018,0,0.2583308153786269,0.0219181449478631,0.2346444193487133,0.2308731521495566,0.1041962079126228,0.6937,0.8999498746867168,0.5516,0.6798997493734336,0.1061851984268859,0.0247614244966782,0.1188,0.0247619047619047,0.9747703968537719,0.9745706637919364,0.1088847896913359,0.0127076126837746,0.121,0.0128320802005012,0.9703316454658295,0.998111059417417,0.0276532137518684,0.0584415584415584,0.006614229531641,0.0017830609212481,0.9446935724962631,0.8831168831168832,04-gpt2,0.0025,0.45664927735620875,0.8211563173060145,0.2867002595792431,0.3628586128303277
NF-CSE-CIC-IDS2018,step-9000,NF-CSE-CIC-IDS2018,0,0.2681763438379991,0.0258911400693651,0.2513587594075669,0.2813614259959057,0.1051802057723682,0.6844,0.9039020964991474,0.5577,0.6815126893369445,0.1061851984268859,0.0263815386081692,0.1188,0.0263817835289397,0.9747703968537719,0.9740936566706307,0.1080270860041865,0.0137831662614797,0.1203,0.0139432239943825,0.9717416235474604,0.9984429759975026,0.0397301349325337,0.0440251572327044,0.009474436896675,0.0013857270117786,0.9205397301349326,0.9119496855345912,04-gpt2,0.0031,0.46669894010624147,0.8220911526769843,0.27872026305509523,0.3624969260414381
NF-CSE-CIC-IDS2018,step-9500,NF-CSE-CIC-IDS2018,0,0.2452587487028633,0.0185232312970281,0.1472731557220269,0.3046935834054559,0.0972402971924615,0.6889000000000001,0.9069394304051344,0.5496,0.6877256317689531,0.1061851984268859,0.0221615719151713,0.1188,0.0221620537505014,0.9747703968537719,0.9771670249692541,0.1088847896913359,0.0115331686412127,0.121,0.0116325711993582,0.9703316454658295,0.9981625568802932,0.047945205479452,0.0503597122302158,0.0112620664998212,0.0013887511159607,0.904109589041096,0.8992805755395684,04-gpt2,0.0028,0.45345385589961185,0.8180888269642589,0.29551914150040187,0.36151232213496476
NF-ToN-IoT,step-10000,NF-ToN-IoT,0,0.1848934554595387,0.0097718496907188,0.092111225989965,0.121671906731416,0.0713000325502251,0.41279999999999994,0.3661841700030798,0.6653,0.48270198131608666,0.4883121559594032,0.4539562693561594,0.8122,0.8218868699312185,0.2618105706970595,0.25794799650171374,0.4693727066837549,0.4509638146770375,0.8111,0.8213735756082537,0.26925381962464223,0.2591804781375676,0.1112938596491228,0.0179899256416406,0.1123471138413858,0.0169090294217111,0.7774122807017544,0.9640201487167187,04-gpt2,0.0259,0.2996203465062889,0.40221789919706513,0.21530675065967605,0.33582607744045384
